title,vendor,category,published,option,option_value,variant_grams,variant_tracker,variant_policy,variant_service,variant_price,variant_require_shipping,variant_taxable,image,image_position,gift,variant_weight_unit
Dem et fils- Bio Crème de massage Dream Body,Dem Event & Fils,,True,Title,Default Title,0.0,shopify,deny,grandmarche,5000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3604copie.jpg?v=1589397342,1.0,False,kg
Koro services-Mille farines - Farine de maïs Jaune 1kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3732copie.jpg?v=1589398162,1.0,False,kg
Koro services-Miel Ordinaire,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,3500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3627copie.jpg?v=1589399204,1.0,False,kg
Koro services-Miel de menthe,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,3500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3624copie.jpg?v=1589399203,1.0,False,kg
Koro services-Farine de Cossette d'igname (Télibo) 1kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1300.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3739copie.jpg?v=1589398162,1.0,False,kg
Koro services-Poudre de Baobab,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,3000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3728copie.jpg?v=1589399278,1.0,False,kg
Koro services-Farine de sorgho 1kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,800.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3724copie.jpg?v=1589398163,1.0,False,kg
Koro services-Mille farines - Gambali lifin - Farine de maïs sans son- 1 Kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3719copie.jpg?v=1589398183,1.0,False,kg
Koro services-Mille farine - Farines de MAÏS blanc -1kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3712copie.jpg?v=1589398164,1.0,False,kg
Koro services-Farine Super Gari 1kg,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,450.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3708copie.jpg?v=1589398163,1.0,False,kg
Koro services-Farine Super Tapioca,Koros Service,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,850.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3705copie.jpg?v=1589398164,1.0,False,kg
Thé_Moringa  24 cartons de 20 sachets,le-grandmarche,Alimentaire,False,Title,Default Title,0.0,shopify,deny,grandmarche,18000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/the_15f06496-3bb8-462e-8ee3-b08142f3cbf3.jpg?v=1589397506,1.0,False,kg
Agro paa-Thé Moringa - 20 sachets,Agro-PAA,Alimentaire,True,Pack,1 X 20 sachets,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/the_bbc448fb-3b74-43d8-a5d5-947e6a7c19c7.jpg?v=1589397505,1.0,False,kg
Sédami Huile de coco,Terre Promise,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,3500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3641copie.jpg?v=1589397465,1.0,False,kg
Festti - Jus ananas - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2833copie.jpg?v=1589398169,1.0,False,kg
Festti - Jus Ananas petit cola - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2824copie.jpg?v=1589398171,1.0,False,kg
Festti - Jus Ananas Menthe - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2807copie.jpg?v=1589398170,1.0,False,kg
Festti - Jus Ananas Gingembre  - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2796copie.jpg?v=1589398169,1.0,False,kg
Festti - Jus Mangue - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,2000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2785copie.jpg?v=1589398172,1.0,False,kg
Festti - Jus Pastèque Ananas 30 cl,AS GREEN SARL,Alimentaire,True,Pack,6,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2772copie.jpg?v=1589398172,1.0,False,kg
Festti - Jus Baobab - 30 cl,AS GREEN SARL,Alimentaire,True,Pack,24,0.0,shopify,deny,grandmarche,6000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC2750copie.jpg?v=1589398171,1.0,False,kg
Dem events et fils- Mélange Epices - 250 ml,Dem Events & Fils,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3595copie.jpg?v=1589397343,1.0,False,kg
Dem events et fils - Bio Céréales Beau Bébé 750g,Dem Events & Fils,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3588copie.jpg?v=1589397342,1.0,False,kg
Thé_Moringa 20 sachets,le-grandmarche,Alimentaire,False,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/the.jpg?v=1589397506,1.0,False,kg
Ifé solution-Tapioca grains fins 500g,Ifè Solution,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1200.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3694copie.jpg?v=1589397495,1.0,False,kg
Groupe Nare-Brioca Aklui-Riz-Tapioca à la citronnelle 100% naturel 230g,Groupe Nare,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3644copie.jpg?v=1589397296,1.0,False,kg
Groupe Nare-Brioca Aklui-Riz-Tapioca à la menthe 100% naturel 230g,Groupe Nare,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3664copie.jpg?v=1589397297,1.0,False,kg
Groupe Nare-Brioca Aklui-Riz-Tapioca au clou de girofle 100% naturel 230g,Groupe Nare,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC3687copie.jpg?v=1589397297,1.0,False,kg
Akpé plus-Thé de curcuma,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,800.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5878.jpg?v=1589397504,1.0,False,kg
Akpé plus-Thé de clou de girofle,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5864.jpg?v=1589397503,1.0,False,kg
Gel hydroalcoolique Godwin,le-grandmarche,hygiène et beauté,True,Contenance,500ml,0.0,shopify,deny,grandmarche,4500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/IMG-20200324-WA0004.jpg?v=1589398189,1.0,False,kg
Gel hydroalcoolique Godwin 1L,le-grandmarche,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,7500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/IMG-20200324-WA0005.jpg?v=1589398190,1.0,False,kg
Gel hydroalcoolique Godwin 35ml,le-grandmarche,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/IMG-20200324-WA0003.jpg?v=1589398190,1.0,False,kg
Akpé plus-Super gingembre,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5844.jpg?v=1589397493,1.0,False,kg
Akpé plus-Poudre de clou de girofle,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1500.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5891.jpg?v=1589399278,1.0,False,kg
Akpé plus-Poudre du noyau de l'avocat,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1200.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_25.jpg?v=1589399279,1.0,False,kg
Akpé plus-Graine de fenugrec,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_22.jpg?v=1589398209,1.0,False,kg
