product_title,product_vendor,product_type,quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Savon S9 Riz Lavande by Kpêdétin,le-grandmarche,hygiène et beauté,3,2542.0,0.0,0.0,2542.0,458.0,3000.0
"Box Ramadan - ""Pack Iftar"" - (22 produits)",GRAND MARCHÉ,,3,50847.0,0.0,0.0,50847.0,9153.0,60000.0
Savon Carotte Curcuma Busserole Parfumé,le-grandmarche,hygiène et beauté,2,1694.0,0.0,0.0,1694.0,306.0,2000.0
TEMILOLA FLOUR - Farine de haricot,TEMILOLA FLOUR,Alimentaire,2,3050.0,0.0,-1525.0,1525.0,275.0,1800.0
COD - Nougat fondant - 250g,COD,Alimentaire,2,847.0,0.0,0.0,847.0,153.0,1000.0
Olou Femi - Atchonmon Chocolat - 500g,Olou Femi,Alimentaire,2,2937.0,0.0,-979.0,1958.0,352.0,2310.0
Thé Moringa  12 cartons de 20 sachets,le-grandmarche,Alimentaire,2,15254.0,0.0,0.0,15254.0,2746.0,18000.0
Terra Foods - Caju Grille - 100g,Terra Foods,Alimentaire,2,2542.0,0.0,0.0,2542.0,458.0,3000.0
Comme au marché-Wadu wanu - Cassoulet precuit,Comme au Marché,Alimentaire,2,1694.0,0.0,0.0,1694.0,306.0,2000.0
Gabrini Pretty Homme 11,le-grandmarche,hygiène et beauté,2,4576.0,0.0,-1525.0,3051.0,549.0,3600.0
PRT20-0003 - Gabrini Angel,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,2,6780.0,0.0,-3390.0,3390.0,610.0,4000.0
Tara - Kink-Gin-Ci - 20 sachets,Comme au Marché,Alimentaire,2,2542.0,0.0,0.0,2542.0,458.0,3000.0
Hover-A-Word- Kondo Petits cailloux a la vanille- 120g,Hover-A-Word,Alimentaire,2,847.0,0.0,0.0,847.0,153.0,1000.0
Dayélian - Ahayoué Deluxe,Iridium,Alimentaire,2,2288.0,0.0,-763.0,1525.0,275.0,1800.0
Comme au marché-O'fil des peches - Cuisse de poulet - 900g,Comme au Marché,Alimentaire,2,2288.0,0.0,0.0,2288.0,412.0,2700.0
Agro paa-Thé Moringa - 20 sachets,Agro-PAA,Alimentaire,2,4236.0,0.0,-2542.0,1694.0,306.0,2000.0
Bionice - Shampoing Solide au savon noir,Ets ZECM NICE,hygiène et beauté,2,2541.0,0.0,-847.0,1694.0,306.0,2000.0
Comme au marché-Wadu wanu - Haricot rouge precuit - 500g,Comme au Marché,Alimentaire,2,848.0,0.0,0.0,848.0,152.0,1000.0
Ahayoué Deluxe,le-grandmarche,Alimentaire,2,1525.0,0.0,0.0,1525.0,275.0,1800.0
MZTA-Klui-klui galette pimentée sucrée à forme ronde,MZTA,Alimentaire,2,1016.0,0.0,0.0,1016.0,184.0,1200.0
