referrer_source,referrer_name,orders,total_sales
Direct,,352,782070.000
Social,Facebook,20,48850.000
Search,Google,27,30840.000
Unknown,Android,7,17655.000
Social,Instagram,1,6750.000
Unknown,Googleweblight,1,1000.000
