product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Savon S9 Riz Lavande by Kpêdétin,le-grandmarche,hygiène et beauté,3,2542.000,0.000,0.000,2542.000,458.000,3000.000
"Box Ramadan - ""Pack Iftar"" - (22 produits)",GRAND MARCHÉ,,3,50847.000,0.000,0.000,50847.000,9153.000,60000.000
Savon Carotte Curcuma Busserole Parfumé,le-grandmarche,hygiène et beauté,2,1694.000,0.000,0.000,1694.000,306.000,2000.000
TEMILOLA FLOUR - Farine de haricot,TEMILOLA FLOUR,Alimentaire,2,3050.000,0.000,-1525.000,1525.000,275.000,1800.000
COD - Nougat fondant - 250g,COD,Alimentaire,2,847.000,0.000,0.000,847.000,153.000,1000.000
Olou Femi - Atchonmon Chocolat - 500g,Olou Femi,Alimentaire,2,2937.000,0.000,-979.000,1958.000,352.000,2310.000
Thé Moringa  12 cartons de 20 sachets,le-grandmarche,Alimentaire,2,15254.000,0.000,0.000,15254.000,2746.000,18000.000
Terra Foods - Caju Grille - 100g,Terra Foods,Alimentaire,2,2542.000,0.000,0.000,2542.000,458.000,3000.000
Comme au marché-Wadu wanu - Cassoulet precuit,Comme au Marché,Alimentaire,2,1694.000,0.000,0.000,1694.000,306.000,2000.000
Gabrini Pretty Homme 11,le-grandmarche,hygiène et beauté,2,4576.000,0.000,-1525.000,3051.000,549.000,3600.000
PRT20-0003 - Gabrini Angel,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,2,6780.000,0.000,-3390.000,3390.000,610.000,4000.000
Tara - Kink-Gin-Ci - 20 sachets,Comme au Marché,Alimentaire,2,2542.000,0.000,0.000,2542.000,458.000,3000.000
Hover-A-Word- Kondo Petits cailloux a la vanille- 120g,Hover-A-Word,Alimentaire,2,847.000,0.000,0.000,847.000,153.000,1000.000
Dayélian - Ahayoué Deluxe,Iridium,Alimentaire,2,2288.000,0.000,-763.000,1525.000,275.000,1800.000
Comme au marché-O'fil des peches - Cuisse de poulet - 900g,Comme au Marché,Alimentaire,2,2288.000,0.000,0.000,2288.000,412.000,2700.000
Agro paa-Thé Moringa - 20 sachets,Agro-PAA,Alimentaire,2,4236.000,0.000,-2542.000,1694.000,306.000,2000.000
Bionice - Shampoing Solide au savon noir,Ets ZECM NICE,hygiène et beauté,2,2541.000,0.000,-847.000,1694.000,306.000,2000.000
Comme au marché-Wadu wanu - Haricot rouge precuit - 500g,Comme au Marché,Alimentaire,2,848.000,0.000,0.000,848.000,152.000,1000.000
Ahayoué Deluxe,le-grandmarche,Alimentaire,2,1525.000,0.000,0.000,1525.000,275.000,1800.000
MZTA-Klui-klui galette pimentée sucrée à forme ronde,MZTA,Alimentaire,2,1016.000,0.000,0.000,1016.000,184.000,1200.000
Savon Cleopatra,le-grandmarche,hygiène et beauté,2,1694.000,0.000,0.000,1694.000,306.000,2000.000
Crevettes fraîches nettoyées 200g,Comme au Marché,Alimentaire,2,3390.000,0.000,0.000,3390.000,610.000,4000.000
Clou de girofle moulu,le-grandmarche,Alimentaire,2,1695.000,0.000,0.000,1695.000,305.000,2000.000
Bionice - savon gommant Coco 'Range,Ets ZECM NICE,hygiène et beauté,2,1450.000,0.000,0.000,1450.000,260.000,1710.000
"Coffret Ramadan, Panier moyen.",GRAND MARCHÉ,Alimentaire,2,23728.000,-593.000,0.000,23135.000,4165.000,27300.000
Gel maxi control,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,2,31272.000,0.000,-10424.000,20848.000,3752.000,24600.000
PRT20-0008 - Adonis - Eau minéral,Parasel Bio Epice et Traditionnel,Alimentaire,2,2034.000,0.000,0.000,2034.000,366.000,2400.000
COD- Noix de Coco Râpée au Lait Aromatisé - 100g,COD,Alimentaire,2,1441.000,0.000,0.000,1441.000,259.000,1700.000
COD - Concada fondant - 250g,COD,Alimentaire,2,1695.000,0.000,-848.000,847.000,153.000,1000.000
Comme au marché-Crevettes fraîches nettoyées 200g,Comme au Marché,Alimentaire,2,3390.000,0.000,0.000,3390.000,610.000,4000.000
COD - Gingembre Grillé au Sucre - 500g,COD,Alimentaire,2,4238.000,0.000,0.000,4238.000,762.000,5000.000
Bionice - Beurre d'Avocat,Ets ZECM NICE,hygiène et beauté,2,6357.000,0.000,-2119.000,4238.000,762.000,5000.000
Festti - Jus Mangue - 30 cl,AS GREEN SARL,Alimentaire,2,3390.000,0.000,0.000,3390.000,610.000,4000.000
Festti jus de Ananas-petit cola pack de 6,GRAND MARCHÉ,Alimentaire,2,2542.000,0.000,0.000,2542.000,458.000,3000.000
Gari Premium au lait de coco,le-grandmarche,Alimentaire,2,847.000,0.000,0.000,847.000,153.000,1000.000
Vin Bordeaux la vieille église -2017-750 ml,Joachim africa trading et services,Alimentaire,1,7628.000,0.000,-3814.000,3814.000,686.000,4500.000
Comment réussir une négociation. Nouvelle édition - William Ury-Roger Fisher & Bruce Patton - Français,Librairie Delphina,,1,12882.000,0.000,-8475.000,4407.000,793.000,5200.000
Farine de sorgho 1kg,GRAND MARCHÉ,Alimentaire,1,678.000,0.000,0.000,678.000,122.000,800.000
COD- Cajou Moelleux Beurré - 400g,COD,Alimentaire,1,4237.000,0.000,0.000,4237.000,763.000,5000.000
King of Soto- cocktail Bissape- 75cl - 8% d'alcool,GRAND MARCHÉ,Alimentaire,1,1695.000,0.000,0.000,1695.000,305.000,2000.000
Chargeur TOSHIBA 5.5*2.5mm- Alimentation pour ordinateurs portables TOSHIBA - Neuf,Ordi'sol,,1,5085.000,0.000,0.000,5085.000,915.000,6000.000
Comme au marché-Songhai - Confi nature de papaye - 470g,Comme au Marché,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Koro services-Farine Super Gari 1kg,Koros Service,Alimentaire,1,762.000,0.000,-381.000,381.000,69.000,450.000
Shamma - Ensemble boucle d'oreille et pendentif imprimée wax - Femme,Shamma,Pendentif et boucle d'oreille,1,1631.000,0.000,0.000,1631.000,294.000,1925.000
Assiette cueille M1 lot de 6,Vaisselle Bénin,Électroménagers,1,21218.000,0.000,0.000,21218.000,3820.000,25038.000
Bravo délices - Huile de coco,JAD'S Corporate,Alimentaire,1,3813.000,0.000,-1271.000,2542.000,458.000,3000.000
Gingembre en poudre,le-grandmarche,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Origine terre-Après-shampooing solide Aloe Baobab,Origine Terre,hygiène et beauté,1,2119.000,0.000,0.000,2119.000,381.000,2500.000
PRT20-0003 - Penis developpement creme,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,13390.000,0.000,-6441.000,6949.000,1251.000,8200.000
Parfum J’adore Dior,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,16949.000,0.000,0.000,16949.000,3051.000,20000.000
Terra Foods - Caju  Epice Sale - 100g,Terra Foods,Alimentaire,1,1270.000,0.000,0.000,1270.000,230.000,1500.000
Dayélian Gari Premium au lait de coco,le-grandmarche,Alimentaire,1,848.000,0.000,-424.000,424.000,76.000,500.000
Box déjeuner Pack 3 (12 produits),GRAND MARCHÉ,Alimentaire,1,33898.000,0.000,-16949.000,16949.000,3051.000,20000.000
Dayélian Kluiklui d’Agonlin Anis,le-grandmarche,Alimentaire,1,1694.000,0.000,-847.000,847.000,153.000,1000.000
Afrodisiac-Pénis Long - 20CL,Aphrodisiac,,1,5084.000,0.000,-3813.000,1271.000,229.000,1500.000
"KARIBAB, Lait hydratant pour le corps",le-grandmarche,hygiène et beauté,1,3390.000,0.000,0.000,3390.000,610.000,4000.000
"Origine terre-Riz-Azuki, Gommage lissant et revitalisant",Origine Terre,hygiène et beauté,1,5508.000,0.000,0.000,5508.000,992.000,6500.000
Dayélian TOP Nuts Noix de Cajou Beurré,le-grandmarche,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Brassé,Origine Terre,hygiène et beauté,1,847.000,0.000,0.000,847.000,153.000,1000.000
Sodabi à la cannelle 1L,GRAND MARCHÉ,,1,4958.000,0.000,0.000,4958.000,892.000,5850.000
Bionice - Beurre de Mange,GRAND MARCHÉ,hygiène et beauté,1,4238.000,0.000,-2119.000,2119.000,381.000,2500.000
Farines de MAÏS blanc (zea mays),Koros Service,Alimentaire,1,508.000,0.000,0.000,508.000,92.000,600.000
PRT20-0001 - Tecno POP 2F - Système HiOS Android 8.1 - 3G - Mémoire interne 16Go - Empreinte Digital - Double SIM,Pluri Mobile,High tech,1,29661.000,0.000,0.000,29661.000,5339.000,35000.000
Terra Foods - Caju Caramelise - 100g,Terra Foods,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Bravo délices - Super Deyi - Anchois mariné - 100g,JAD'S Corporate,Alimentaire,1,1695.000,0.000,0.000,1695.000,305.000,2000.000
Gingembre au miel 100% naturel,Ruchers d'Afrique,Alimentaire,1,678.000,0.000,0.000,678.000,122.000,800.000
Afrodisiac-Sodabi Original Nature 1/2L,Aphrodisiac,Alimentaire,1,2500.000,0.000,0.000,2500.000,450.000,2950.000
Sodabi arrangé Tambour,le-grandmarche,Alimentaire,1,11017.000,0.000,0.000,11017.000,1983.000,13000.000
Box apéro pack 3- (13 produits),GRAND MARCHÉ,Alimentaire,1,33899.000,-8475.000,-8475.000,16949.000,3051.000,20000.000
Anaca 3 Ventre Plat B/60 GEL,le-grandmarche,Alimentaire,1,20339.000,0.000,0.000,20339.000,3661.000,24000.000
COD- Noix de Coco Râpée Simple,COD,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Wadu wanu - Haricot blanc precuit - 500g,Comme au Marché,Alimentaire,1,423.000,0.000,0.000,423.000,77.000,500.000
Câble VGA vers VGA avec ferrites,Ordi'sol,,1,2542.000,0.000,0.000,2542.000,458.000,3000.000
PRT20-0003 - Manix Gel De Massage Aphrodiasiac Effet Réchauffant 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,3390.000,0.000,0.000,3390.000,610.000,4000.000
Sodabi Original Nature 1/2L,Aphrodisiac,Alimentaire,1,2500.000,0.000,0.000,2500.000,450.000,2950.000
COD- Cajou Moelleux Nature - 400g,COD,Alimentaire,1,7627.000,0.000,-3813.000,3814.000,686.000,4500.000
Assiette écuelle M1 lot de 6,Vaisselle Bénin,Électroménagers,1,21219.000,0.000,0.000,21219.000,3819.000,25038.000
TOP Nuts Noix de Cajou Beurré,le-grandmarche,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Comme au marché-King of Soto - Liqueur arrangé Ananas - 50cl - 40%,Comme au Marché,Alimentaire,1,3178.000,0.000,0.000,3178.000,572.000,3750.000
Comme au marché-Bio legumes - Amanvive - 300g,Comme au Marché,Alimentaire,1,339.000,0.000,0.000,339.000,61.000,400.000
Olou Femi - Sac à mains rose - Femme,Olou Femi,Sacs à mains,1,8475.000,0.000,0.000,8475.000,1525.000,10000.000
Conceptio Homme – 30 sachets + 90 capsules,LA NOUVELLE PHARMACIE HOUEYIHO,Alimentaire,1,18983.000,0.000,0.000,18983.000,3417.000,22400.000
"Infinix S4 PRO - 4G - 6 Go RAM - 64 Go DE ROM - 6,2 pousse HD+ - 4000MAH",Pluri Mobile,High tech,1,72034.000,0.000,0.000,72034.000,12966.000,85000.000
Festti jus de Pastèque-Ananas pack de 6,GRAND MARCHÉ,Alimentaire,1,2542.000,0.000,-1271.000,1271.000,229.000,1500.000
Akpé plus-Graine de fenugrec,Akpe plus,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Savon Cappuccino,Origine Terre,hygiène et beauté,1,2541.000,0.000,-1694.000,847.000,153.000,1000.000
Wadu wanu - Porc fume - 1Kg,Comme au Marché,Alimentaire,1,2542.000,0.000,0.000,2542.000,458.000,3000.000
Manix Gel Infiniti 100ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,6780.000,0.000,-3390.000,3390.000,610.000,4000.000
Origine terre-Pack Stop Acné,Origine Terre,hygiène et beauté,1,35169.000,0.000,-16525.000,18644.000,3356.000,22000.000
Afrijus - Jus de Baobab à l'Ananas- 30 cl,Afrijus,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Shampooing solide Antipelliculaire Bay St Thomas Neem,Origine Terre,hygiène et beauté,1,2542.000,0.000,0.000,2542.000,458.000,3000.000
King of Soto - Liqueur arrangé Ananas - 50cl - 40%,Comme au Marché,Alimentaire,1,3178.000,0.000,0.000,3178.000,572.000,3750.000
Dayélian Gari Premium au lait de coco,Iridium,Alimentaire,1,424.000,0.000,0.000,424.000,76.000,500.000
COD- Cajou Moelleux Beurré - 200g,COD,Alimentaire,1,2119.000,0.000,0.000,2119.000,381.000,2500.000
Itel A55,Pluri Mobile,High tech,1,29661.000,0.000,0.000,29661.000,5339.000,35000.000
Ducray Keracnyl Gel Moussant FL/200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,4835.000,0.000,0.000,4835.000,870.000,5705.000
Terra Foods - Caju  Epice Caramel - 100g,Terra Foods,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Afrodisiac Pontche traditionnel 1/2L,GRAND MARCHÉ,,1,2500.000,0.000,0.000,2500.000,450.000,2950.000
Festti - Jus Ananas petit cola - 30 cl,AS GREEN SARL,Alimentaire,1,5695.000,0.000,-4424.000,1271.000,229.000,1500.000
Savon Mangue Cannelle,Origine Terre,hygiène et beauté,1,1695.000,0.000,0.000,1695.000,305.000,2000.000
Thé de clou de girofle,le-grandmarche,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Chargeur Lenovo 20V 3.25A - Adapter PC IBM Lenovo - Bout USB,Ordi'sol,,1,5085.000,0.000,0.000,5085.000,915.000,6000.000
Farines de MAÏS blanc (zea mays),GRAND MARCHÉ,Alimentaire,1,508.000,0.000,0.000,508.000,92.000,600.000
Sérum végétal anti acné et points noirs,Origine Terre,hygiène et beauté,1,4238.000,0.000,0.000,4238.000,762.000,5000.000
Liqueur Afrodisiac - DEM POWER - 1L,Aphrodisiac,,1,3814.000,0.000,0.000,3814.000,686.000,4500.000
King of Soto-liqueur azonbebe- 50cl - 40% d'alcool,Comme au Marché,Alimentaire,1,8136.000,0.000,-4068.000,4068.000,732.000,4800.000
Tara - Kink-Biss - 20 sachets,Comme au Marché,Alimentaire,1,1271.000,0.000,0.000,1271.000,229.000,1500.000
Afrodisiac - TENGA Masturbateur gorge profonde pour homme - Pré-lubrifié,Aphrodisiac,,1,12712.000,0.000,0.000,12712.000,2288.000,15000.000
Wadu wanu - Haricot rouge precuit - 500g,Comme au Marché,Alimentaire,1,424.000,0.000,0.000,424.000,76.000,500.000
MDR - Poisson fumé assaisonné,Miséricorde Divine,Alimentaire,1,847.000,0.000,0.000,847.000,153.000,1000.000
Confessions d’un entrepreneur… pas comme les autres - Yvon Chouinard - Français,Librairie Delphina,,1,4661.000,0.000,0.000,4661.000,839.000,5500.000
Manix Gel De Massage Aphrodiasiac Effet Réchauffant 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,3390.000,0.000,0.000,3390.000,610.000,4000.000
Après-shampooing solide Aloe Baobab,Origine Terre,hygiène et beauté,1,4238.000,0.000,-2119.000,2119.000,381.000,2500.000
